"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_02186",184.309402182049,5.30604992285567,0.294896895752032,17.9928985326361,2.21464922241139e-72,1.05722271076426e-71
"AENJPLPP_02187",57.8409342841956,5.69595790525408,0.582512955821875,9.77825102141734,1.3960197556166e-22,3.43055656401312e-22
"AENJPLPP_02188",20.11828767482,5.38325119265344,0.899213814697177,5.98661976124814,2.14246850181385e-09,3.88956875142265e-09
"AENJPLPP_02189",7.01515869942139,6.34294664455496,1.30817623459412,4.84869429425381,1.24276770053613e-06,2.05855491692901e-06
"AENJPLPP_02190",80.0995461278281,4.95180840666139,0.400687071263009,12.3582934459372,4.39385660283813e-35,1.31770447244744e-34
"AENJPLPP_02191",174.204134465708,4.63394378023981,0.253083512209575,18.3099394337569,6.89464239486192e-75,3.38569960435715e-74
"AENJPLPP_02192",31.3812170157506,6.04056092460118,0.874752830595496,6.90544884603461,5.00449399594596e-12,9.75440864537794e-12
"AENJPLPP_02193",595.27953090045,4.46018637475206,0.141051294549537,31.6210240324002,1.8982715181713e-219,2.27480109502668e-218
"AENJPLPP_02195",40.7794862328591,3.4401626184234,0.38788734253432,8.86897364566366,7.38231448249713e-19,1.69537064456085e-18
"AENJPLPP_02196",151.326545005398,2.0652859539392,0.175697424265718,11.7547878836046,6.6728108583326e-32,1.89758058783833e-31
"AENJPLPP_02197",299.273788325214,1.55906838287319,0.1297923184497,12.0120235272428,3.07234039794452e-33,8.90214451623328e-33
"AENJPLPP_02198",153.851399294037,1.36557678807931,0.161445159116135,8.45845608227246,2.7094062360931e-17,6.01814718497567e-17
"AENJPLPP_02215",371.758696422044,1.41312357806925,0.110960589903693,12.7353646848467,3.76084684318716e-37,1.15889799019693e-36
"AENJPLPP_02229",15.1365279208315,-1.11601724010181,0.468588424856138,-2.38165772115357,0.0172349085169367,0.0227198069720777
