"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_01944",1694.57082271967,0.976409221918567,0.0833796218387977,11.7104059767303,1.12738506133463e-31,3.18114854516129e-31
"AENJPLPP_01945",98.066971193936,0.537013505956114,0.189378405668497,2.83566388712843,0.00457305453973301,0.00628444304846745
"AENJPLPP_01946",11.4354031457334,1.83369412174998,0.60977248147649,3.00717755794737,0.00263685696435587,0.00371122642832494
"AENJPLPP_01947",6.37004981938312,0.470483032590801,0.694412278875153,0.677526948908384,0.498071677587334,0.54301187762423
"AENJPLPP_01948",81.3630611695848,0.739110231720592,0.212027245454135,3.48592101990248,0.000490445782541485,0.000721666558241942
"AENJPLPP_01949",416.769499389941,0.28303338271887,0.110517950959942,2.56097204355026,0.0104379755228364,0.013981317719641
"AENJPLPP_01950",51.3391323322399,-1.74519084783898,0.276400242132709,-6.31399898340556,2.71915724199539e-10,5.06277870120881e-10
"AENJPLPP_01951",32.8320669514393,-0.570008249378546,0.322245790775378,-1.76886173751722,0.0769169508456453,0.0951496010460999
"AENJPLPP_01952",718.727719823806,0.869866062933047,0.0850579567609581,10.2267453399765,1.50492241686741e-24,3.83071160657159e-24
"AENJPLPP_01953",2181.71010187829,1.21759870976287,0.0686741187570445,17.7300958760096,2.45615114529805e-70,1.14436994161727e-69
"AENJPLPP_01954",2257.07910918252,2.04180295100984,0.0910977869490682,22.4133101296016,2.91912144025997e-111,1.89320303653386e-110
"AENJPLPP_01955",1.69586439700379,0.77009339792144,1.3505607974311,0.570202688680314,0.568540232715593,0.6120477477515
"AENJPLPP_01956",204.714123317647,1.1492673543208,0.141070906939912,8.14673542015517,3.73880487736699e-16,8.07670608523195e-16
"AENJPLPP_01957",310.828759197197,0.040173676707452,0.115706791784441,0.347202407809342,0.728439262061351,0.759747539800377
"AENJPLPP_01958",722.416455215608,0.941097577120516,0.0927043299475282,10.1516032493109,3.25963837315779e-24,8.23964144325996e-24
"AENJPLPP_01959",813.219954108796,1.03981639067953,0.0849175375795633,12.2450134603264,1.78647442825876e-34,5.3083811582546e-34
"AENJPLPP_01960",258.954798831943,1.52161677161123,0.127559435919443,11.9286884630956,8.38846768979104e-33,2.4209333907504e-32
"AENJPLPP_01961",1833.80458847891,-4.94469627585163,0.107672969406384,-45.9232832818898,0,0
